"","genename","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EME1","EME1",108.217569065912,1.13519032281503,0.136357951323673,8.32507610883966,8.42745778620372e-17,2.351248125254e-15
"PAH","PAH",33.1933214701597,-2.75408446894331,0.3309048082964,-8.32289045034488,8.58437794841919e-17,2.39145394637678e-15
"RGN","RGN",38.7384285017484,-1.87766741261344,0.225616373152081,-8.32238984423248,8.62072273389778e-17,2.39799984840838e-15
"HPD","HPD",3.40186380019681,2.5588645108737,0.307528752808296,8.32073257380528,8.74212924235304e-17,2.42454446223655e-15
"TEX14","TEX14",50.7153425070905,-1.99719224846083,0.240025034417827,-8.32076642882251,8.73963233969052e-17,2.42454446223655e-15
"DYDC2","DYDC2",21.8254931175204,-1.94769724850351,0.234258051026786,-8.31432362715597,9.2277024140897e-17,2.55163060087384e-15
"SCN4B","SCN4B",179.537086335774,-1.22923564325751,0.147872449148493,-8.31281046831864,9.34617275113991e-17,2.5735202595991e-15
"KCNJ3","KCNJ3",546.860329892196,-3.53714004760545,0.425603108311744,-8.31088866252966,9.49880163299644e-17,2.61112124418083e-15
"STK32B","STK32B",295.061241471832,-1.7170183877271,0.206665507939691,-8.30820007094827,9.71646058839172e-17,2.66702554238723e-15
"SLC16A2","SLC16A2",654.560467601278,1.04925595469344,0.126329224447602,8.30572624253423,9.9210737216309e-17,2.71919002957769e-15
"ATHL1","ATHL1",1380.07724401401,-1.58721494865921,0.191110464572853,-8.30522259577339,9.96324853297103e-17,2.72674536463203e-15
"SYNM","SYNM",1562.06070369803,-1.69520821832646,0.204286458308374,-8.298191825165,1.05707898139604e-16,2.8845583607832e-15
"SLC27A6","SLC27A6",64.4290597336275,-2.23323601696272,0.269303096466673,-8.2926488639134,1.10753926086529e-16,3.00905681281668e-15
"L3MBTL","L3MBTL",97.3929911464407,-1.10641242974643,0.133459758373211,-8.29023252576574,1.13027289370553e-16,3.06635807572874e-15
"FHIT","FHIT",62.4330544829984,-1.1370951519502,0.137243976220942,-8.28520991055852,1.17900950602662e-16,3.18930614927346e-15
"PTPRZ1","PTPRZ1",93.9256732385049,-2.80905149281908,0.339194299511943,-8.2815409836219,1.21591472183706e-16,3.28437746499113e-15
"NKD1","NKD1",32.2249378423472,1.09973283093555,0.132808333172667,8.2806011088609,1.2255506163788e-16,3.30562171310844e-15
"NNAT","NNAT",33.8620208753136,-1.83882132596362,0.222140083412865,-8.27775562929821,1.25518476320929e-16,3.37579590854486e-15
"KIAA1045","KIAA1045",18.5038783949708,-2.09839488632032,0.253700961406994,-8.27113494045463,1.32689764441712e-16,3.55841157083988e-15
"A4GALT","A4GALT",351.000526710638,-1.01945291438829,0.12334820692963,-8.26483772860911,1.3988489362057e-16,3.74598499200565e-15
"AKR1B15","AKR1B15",47.6323548899933,3.15500615852762,0.381891971168667,8.26151476521662,1.43835354007912e-16,3.84075376617694e-15
"DDIT4L","DDIT4L",55.5002727800793,-1.60297315415142,0.194043161787361,-8.26091030153392,1.4456569489608e-16,3.84625821675695e-15
"IL17RD","IL17RD",674.234210219046,-1.09993840588758,0.133150118375926,-8.26088943294892,1.44590974468448e-16,3.84625821675695e-15
"RGMA","RGMA",367.027191067207,-1.58192037832379,0.191496603487892,-8.26082734372785,1.44666213249022e-16,3.84625821675695e-15
"ANPEP","ANPEP",2249.30923977086,-1.75646372412032,0.212651260202286,-8.25983218932947,1.45877407080821e-16,3.86761619767545e-15
"C1orf161","C1orf161",4.49481361887233,1.93780297964761,0.23494136675537,8.24802803528986,1.61029597313492e-16,4.24522236420386e-15
"TRIM9","TRIM9",84.5974891316873,-1.681197121059,0.203899117955785,-8.24523979266828,1.64829337926644e-16,4.33926599774445e-15
"BNC1","BNC1",19.8822725815589,-2.24528369361076,0.272623034125858,-8.23585468781119,1.78280224370079e-16,4.67359605037573e-15
"CMTM7","CMTM7",504.603556469925,-1.21916606661641,0.148061224753233,-8.2342022271418,1.80758124025848e-16,4.72528065117991e-15
"C1orf186","C1orf186",43.6680643181698,-2.19813506568814,0.267200547587696,-8.22653653045645,1.92704330618175e-16,5.01649418547872e-15
"AGXT2L1","AGXT2L1",8.28890029771618,-3.27170847201899,0.397869993140469,-8.22305911082845,1.98376998651688e-16,5.14980066736266e-15
"CHPT1","CHPT1",1744.91369957309,-1.03460468420798,0.125838700211858,-8.22167332041852,2.0068321433776e-16,5.19521802443036e-15
"TCEAL2","TCEAL2",21.8601443638675,-1.99914163007266,0.243185756069664,-8.22063620165308,2.02426447755287e-16,5.23308815422776e-15
"PAPSS2","PAPSS2",1195.41228660295,1.38174000384052,0.168131311505789,8.2182193873682,2.06546866800206e-16,5.31751347424255e-15
"ABCC12","ABCC12",36.4125052414661,3.09703106973849,0.377092326637959,8.21292519354791,2.15864040975908e-16,5.54209398186426e-15
"UGCG","UGCG",813.969133819869,-1.33277804989729,0.162305013589507,-8.21156426669655,2.18325303382916e-16,5.59758487313478e-15
"TPH1","TPH1",12.8177094643898,-2.68658874807154,0.327214665677224,-8.21047779906566,2.2031004122525e-16,5.64005208434108e-15
"ANXA8L2","ANXA8L2",138.836294355101,-2.46627339119243,0.300486527423573,-8.20760056145848,2.25652449184899e-16,5.76170036119855e-15
"SERPINA4","SERPINA4",5.14843302198093,-2.91063007552502,0.354913497942215,-8.20095626793803,2.3848228304151e-16,6.06355475296351e-15
"TFPI2","TFPI2",256.770828444363,-2.33595142569954,0.284837613167725,-8.20099354056877,2.38408343359485e-16,6.06355475296351e-15
"CAND2","CAND2",102.386432780667,-1.28533460183565,0.156805621934119,-8.19699310510485,2.46474577044649e-16,6.22523407380025e-15
"CHRDL2","CHRDL2",30.181029228775,-2.56732021051835,0.313195976452652,-8.19716855751646,2.46115230978448e-16,6.22523407380025e-15
"FAM150B","FAM150B",12.4502816375748,-3.07399015778672,0.375008186285854,-8.19712814334013,2.46197957904001e-16,6.22523407380025e-15
"CSN3","CSN3",56.6742014581466,-7.54104834338735,0.920139845524035,-8.19554590540811,2.49458397052939e-16,6.29208240674745e-15
"CLRN1OS","CLRN1OS",1.78744666290025,-2.87912340370409,0.351411751631024,-8.19301969937284,2.54752459473046e-16,6.41694285568746e-15
"KLK8","KLK8",71.2471066436622,-3.1367991911694,0.382983839027047,-8.19042181815895,2.60312221639331e-16,6.54815042708642e-15
"IL17RB","IL17RB",394.440757314344,-1.16956637847065,0.14296442852871,-8.18082085527852,2.81916764179867e-16,7.07254892932421e-15
"TAC1","TAC1",7.8663459509496,-2.79670631002285,0.342192247324015,-8.1729096199386,3.01039503681241e-16,7.53204066516135e-15
"DLGAP1","DLGAP1",66.1959682441283,-2.21876965038066,0.271564521569917,-8.17032224074756,3.07566816863057e-16,7.68505306124358e-15
"ANO9","ANO9",277.584807368603,-1.04983888032543,0.128507656794147,-8.16946559073238,3.09758517804398e-16,7.72946889681696e-15
"NPAS3","NPAS3",54.5006935724194,-1.36624259278722,0.167258494633479,-8.16844965501533,3.12377703911729e-16,7.77447534286853e-15
"QPRT","QPRT",399.404851868375,1.36240851756937,0.166789256546662,8.16844289481089,3.12395205312156e-16,7.77447534286853e-15
"EGR3","EGR3",611.927246560099,-1.55538052848286,0.19058978150367,-8.16088100952524,3.32589691792299e-16,8.26602742650234e-15
